elapsed_time,power,smooth_power
0 days 00:10:27,66.0,132.56666666666666
0 days 00:10:28,255.0,126.46666666666667
0 days 00:10:29,236.0,119.2
0 days 00:10:30,189.0,113.0
0 days 00:10:31,68.0,107.13333333333334
0 days 00:10:32,15.0,102.0
0 days 00:10:33,21.0,94.23333333333333
0 days 00:10:34,7.0,88.63333333333334
0 days 00:10:35,279.0,94.86666666666666
0 days 00:10:36,351.0,102.4
0 days 00:10:37,260.0,114.63333333333334
0 days 00:10:38,132.0,129.83333333333334
0 days 00:10:39,29.0,141.83333333333334
0 days 00:10:40,29.0,159.86666666666667
0 days 00:10:41,9.0,171.86666666666667
0 days 00:10:42,0.0,183.86666666666667
0 days 00:10:43,0.0,191.33333333333334
0 days 00:10:44,0.0,191.7
0 days 00:10:45,0.0,192.96666666666667
0 days 00:10:46,0.0,194.9
0 days 00:10:47,0.0,199.86666666666667
0 days 00:10:48,0.0,205.86666666666667
0 days 00:10:49,397.0,211.13333333333333
0 days 00:10:50,413.0,216.36666666666667
0 days 00:10:51,449.0,210.83333333333334
0 days 00:10:52,494.0,203.2
0 days 00:10:53,398.0,199.8
0 days 00:10:54,569.0,200.66666666666666
0 days 00:10:55,425.0,204.96666666666667
0 days 00:10:56,425.0,204.66666666666666
0 days 00:10:57,290.0,205.03333333333333
0 days 00:10:58,266.0,205.7
0 days 00:10:59,274.0,208.7
0 days 00:11:00,247.0,210.96666666666667
0 days 00:11:01,217.0,216.06666666666666
0 days 00:11:02,195.0,220.63333333333333
0 days 00:11:03,179.0,226.23333333333332
0 days 00:11:04,164.0,231.0
0 days 00:11:05,113.0,222.56666666666666
0 days 00:11:06,122.0,214.1
0 days 00:11:07,158.0,202.3
0 days 00:11:08,158.0,188.9
0 days 00:11:09,158.0,178.5
0 days 00:11:10,20.0,161.53333333333333
0 days 00:11:11,20.0,153.43333333333334
0 days 00:11:12,20.0,148.06666666666666
0 days 00:11:13,90.0,149.63333333333333
0 days 00:11:14,68.0,152.0
